Abr,Course,Section,Title,Quarter,Year,Day and Time,Instructor,E1,S1,P1,E2,S2,P2,E1(N),S1(N),P1(N),E2(N),S2(N),P2(New),E3,S3,P3,E4,S4,P4
nte2020 33650,33650,60,Workshop in Macro and International Economics,Winter,2020,"Monday,11:45 -  1:15","Neiman, Brent;Winberry, Thomas",2,63,0,3,62,0,3,62,N/A,3,62,N/A,3,62,N/A,,,
,33650,60,Workshop in Macro and International Economics,Winter,2021,"Monday,11:45 -  1:15","Vavra, Joseph",1,64,0,2,63,0,2,63,N/A,2,63,N/A,3,62,0,,,
rin2020 33701,33701,1,Energy Policy Practicum,Spring,2020,"Wednesday,12:30 -  3:30","Rosner, Robert; Topel, Robert",9,3,1,9,3,N/A,9,3,N/A,9,3,N/A,9,3,N/A,9,3,0
rin2017 33701,33701,1,Energy Policy Practicum,Spring,2017,"Wednesday, 8:30 - 11:30","Topel, Robert",10,4,416,10,4,-1,10,4,-1,10,4,-1,10,4,-1,14,CLO,-1
rin2018 33701,33701,1,Energy Policy Practicum,Spring,2018,"Wednesday, 8:30 - 11:30","Topel, Robert",18,2,0,17,3,0,17,3,-1,17,3,-1,13,7,0,20,CLO,-1
rin2019 33701,33701,1,Energy Policy Practicum,Spring,2019,"Wednesday, 8:30 - 11:30","Topel, Robert",5,14,0,9,10,0,10,9,0,9,10,N/A,10,9,0,5,14,0
tum2020 33903,33903,50,Microeconomics Reading and Research Seminar ?,Autumn,2020,"Monday, 3:15 -  6:15","Budish, Eric",2,63,0,3,62,0,3,62,N/A,3,62,N/A,7,58,0,,,
,33904,50,Microeconomics Reading and Research Seminar ?,Winter,2021,"Tuesday, 3:15 -  6:15","Budish, Eric",2,63,0,4,61,0,4,61,N/A,4,61,N/A,5,60,0,,,
tum2016 33911,33911,1,The Economics of Information,Autumn,2016,"Wednesday, 1:30 -  4:30","Harris, Milton",5,60,0,5,60,-1,5,60,-1,5,60,-1,4,61,-1,6,59,0
tum2017 33911,33911,50,The Economics of Information,Autumn,2017,"Wednesday, 1:30 -  4:30","Harris, Milton",5,20,0,5,20,-1,5,20,-1,5,20,-1,7,18,0,10,15,0
tum2018 33911,33911,50,The Economics of Information,Autumn,2018,"Tuesday,10:00 -  1:00","Harris, Milton",6,19,0,7,18,0,7,18,-1,8,17,-1,17,8,0,17,8,-1
tum2019 33911,33911,50,The Economics of Information,Autumn,2019,"Tuesday,10:00 -  1:00","Harris, Milton",5,20,0,5,20,N/A,5,20,N/A,5,20,N/A,4,21,N/A,,,
tum2018 33914,33914,50,Topics in Information Economics,Autumn,2018,"Wednesday, 3:00 -  6:00","Kamenica, Emir",0,24,0,0,24,-1,1,23,0,1,23,-1,2,22,0,3,21,0
tum2019 33914,33914,50,Topics in Information Economics,Autumn,2019,"Wednesday, 9:00 - 12:00","Kamenica, Emir",4,28,0,4,28,N/A,4,28,N/A,4,28,N/A,5,27,0,,,
tum2020 33914,33914,50,Topics in Information Economics,Autumn,2020,"Tuesday, 8:30 - 11:30","Kamenica, Emir",4,28,0,4,28,N/A,4,28,N/A,4,28,N/A,8,24,0,,,
rin2020 33915,33915,50,Market Design,Spring,2020,"Monday, 4:45 -  7:45","Budish, Eric",12,23,0,13,22,0,13,22,N/A,13,22,N/A,13,22,0,11,24,N/A
rin2018 33915,33915,50,Market Design,Spring,2018,"Monday, 3:30 -  6:30","Budish, Eric;Dworczak, Piotr",0,40,0,0,40,-1,0,40,-1,0,40,-1,0,40,-1,7,33,0
,33916,50,Consensus and Economics,Winter,2021,"Wednesday, 9:00 - 12:00","Leshno, Jacob",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,1,64,0,,,
,33917,50,Applied Microeconomics in Economic History,Winter,2021,"Friday, 9:00 - 12:00","Hornbeck, Richard",4,61,0,6,59,0,6,59,N/A,6,59,N/A,6,59,0,,,
tum2016 33921,33921,1,Advanced Industrial Organization I,Autumn,2016,"Friday, 9:00 - 12:00","Syverson, Chad",7,27,0,7,27,-1,7,27,-1,7,27,-1,9,25,0,12,22,0
tum2017 33921,33921,50,Advanced Industrial Organization I,Autumn,2017,"Friday, 8:30 - 11:30","Syverson, Chad",3,62,0,3,62,-1,3,62,-1,3,62,-1,12,53,0,13,52,0
tum2016 34101,34101,85,Entrepreneurial Finance and Private Equity,Autumn,2016,"Saturday, 9:00 - 12:00","Kaplan, Steven",59,6,0,56,9,0,59,6,0,60,5,0,65,CLO,16659,65,CLO,14853
tum2018 33921,33921,50,Advanced Industrial Organization I,Autumn,2018,"Friday, 8:30 - 11:30","Syverson, Chad",3,62,0,4,61,0,4,61,-1,4,61,-1,7,58,0,7,58,-1
tum2019 33921,33921,50,Advanced Industrial Organization I,Autumn,2019,"Friday, 8:30 - 11:30","Syverson, Chad",7,31,0,7,31,N/A,7,31,N/A,7,31,N/A,10,28,0,,,
tum2017 34101,34101,81,Entrepreneurial Finance and Private Equity,Autumn,2017,"Monday, 6:00 -  9:00","Kaplan, Steven",65,CLO,500,65,CLO,1200,65,CLO,-1,65,CLO,-1,65,CLO,10000,65,CLO,12000
tum2020 33921,33921,50,Advanced Industrial Organization I,Autumn,2020,"Friday, 8:30 - 11:30","Syverson, Chad",8,57,0,8,57,N/A,8,57,N/A,8,57,N/A,14,51,0,,,
nte2018 33922,33922,50,Advanced Industrial Organization II,Winter,2018,"Monday, Wednesday,10:30 - 12:20","Hortaçsu, Ali",6,24,0,6,24,-1,6,24,-1,6,24,-1,7,23,0,7,23,0
tum2018 34101,34101,81,Entrepreneurial Finance and Private Equity,Autumn,2018,"Wednesday, 6:00 -  9:00","Kaplan, Steven",54,11,0,56,9,0,56,9,-1,56,9,-1,65,CLO,8889,65,CLO,13710
nte2019 33922,33922,50,Advanced Industrial Organization II,Winter,2019,"Tuesday, Thursday, 2:00 -  3:20","Hortaçsu, Ali",1,29,0,1,29,-1,1,29,-1,1,29,-1,17,13,-1,18,12,-1
nte2020 33922,33922,50,Advanced Industrial Organization II,Winter,2020,"Monday, Wednesday,11:00 - 12:20","Hortaçsu, Ali",10,20,0,11,19,0,11,19,N/A,11,19,N/A,11,19,N/A,,,
tum2019 34101,34101,85,Entrepreneurial Finance and Private Equity,Autumn,2019,"Saturday, 9:00 - 12:00","Kaplan, Steven",63,2,0,64,1,0,65,CLO,1351,65,CLO,N/A,65,CLO,17340,,,
,33922,50,Advanced Industrial Organization II,Winter,2021,"Monday, Wednesday,11:30 - 12:50","Hortacsu, Ali",4,26,0,4,26,N/A,4,26,N/A,4,26,N/A,5,25,0,,,
rin2017 33923,33923,50,Advanced Industrial Organization III,Spring,2017,"Thursday, 1:30 -  4:30","Carlton, Dennis",2,63,0,2,63,-1,2,63,-1,2,63,-1,2,63,-1,7,58,-1
tum2020 34101,34101,85,Entrepreneurial Finance and Private Equity,Autumn,2020,"Saturday, 9:00 - 12:00","Kaplan, Steven",44,21,0,46,19,0,46,19,N/A,46,19,N/A,65,CLO,11500,,,
rin2018 33923,33923,50,Advanced Industrial Organization III,Spring,2018,"Thursday, 1:30 -  4:30","Carlton, Dennis",2,63,0,2,63,0,2,63,-1,2,63,-1,2,63,-1,14,51,-1
mme2017 34101,34101,81,Entrepreneurial Finance and Private Equity,Summer,2017,"Thursday, 6:00 -  9:00","Meadow, Scott",70,CLO,8000,70,CLO,11000,70,CLO,-1,70,CLO,-1,70,CLO,1943,70,CLO,13397
mme2017 34101,34101,85,Entrepreneurial Finance and Private Equity,Summer,2017,"Saturday, 9:00 - 12:00","Meadow, Scott",65,5,1,62,8,0,62,8,-1,62,8,-1,70,CLO,808,70,CLO,1500
rin2019 33923,33923,50,Advanced Industrial Organization III,Spring,2019,"Thursday, 1:30 -  4:30","Carlton, Dennis",0,19,N/A,0,19,N/A,11,8,N/A,11,8,N/A,11,8,N/A,13,6,N/A
rin2018 34101,34101,85,Entrepreneurial Finance and Private Equity,Spring,2018,"Saturday, 9:00 - 12:00","Meadow, Scott",63,2,0,57,8,0,60,5,0,60,5,0,65,CLO,4201,65,CLO,4242
rin2020 33923,33923,50,Advanced Industrial Organization III,Spring,2020,"Tuesday, 1:30 -  4:30","Carlton, Dennis",5,14,0,6,13,0,6,13,N/A,6,13,N/A,7,12,0,9,10,N/A
nte2019 34101,34101,85,Entrepreneurial Finance and Private Equity,Winter,2019,"Saturday, 9:00 - 12:00","Meadow, Scott",65,CLO,2500,65,CLO,17241,65,CLO,-1,65,CLO,-1,65,CLO,10001,65,CLO,-1
nte2018 33942,33942,50,Applied Macroeconomics: Micro Data for Macro Models,Winter,2018,"Wednesday, 2:00 -  5:00","Davis, Steven",1,21,0,1,21,-1,1,21,-1,1,21,-1,1,21,-1,2,20,0
nte2020 34101,34101,81,Entrepreneurial Finance and Private Equity,Winter,2020,"Friday, 6:00 -  9:00","Meadow, Scott",65,CLO,2500,65,CLO,5437,65,CLO,N/A,65,CLO,N/A,65,CLO,18111,,,
mme2020 34101,34101,81,Entrepreneurial Finance and Private Equity,Summer,2020,"Thursday, 6:00 -  9:00","Meadow, Scott",64,1,1781,58,7,0,60,5,0,60,5,N/A,65,CLO,7333,,,
tum2016 33942,33942,1,Applied Macroeconomics: Micro Data for Macro Models,Autumn,2016,"Monday, 1:30 -  4:30","Hurst, Erik;Winberry, Thomas",0,21,0,0,21,-1,0,21,-1,0,21,-1,2,19,0,2,19,-1
tum2018 33946,33946,50,International Macroeconomics and Trade,Autumn,2018,"Monday, 8:30 - 11:30","Dingel, Jonathan",0,19,0,0,19,-1,0,19,-1,0,19,-1,0,19,-1,0,19,-1
nte2017 34101,34101,81,Entrepreneurial Finance and Private Equity,Winter,2017,"Tuesday, 6:00 -  9:00","Zingales, Luigi",17,48,0,16,49,0,16,49,-1,16,49,-1,19,46,0,21,44,0
tum2019 33946,33946,50,International Macroeconomics and Trade,Autumn,2019,"Monday, 8:30 - 11:30","Dingel, Jonathan",0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A,1,18,0,,,
rin2017 34101,34101,81,Entrepreneurial Finance and Private Equity,Spring,2017,"Wednesday, 6:00 -  9:00","Zwick, Eric",43,22,0,40,25,0,40,25,-1,40,25,-1,47,18,0,46,19,0
tum2020 33946,33946,50,International Macroeconomics and Trade,Autumn,2020,"Monday, 8:30 - 11:30","Dingel, Jonathan",1,18,0,1,18,N/A,1,18,N/A,1,18,N/A,5,14,0,,,
tum2016 33946,33946,1,International Macroeconomics and Trade,Autumn,2016,"Tuesday, 9:00 - 11:50","Ossa, Ralph",0,20,0,0,20,-1,0,20,-1,0,20,-1,0,20,-1,0,20,-1
tum2017 33947,33947,50,Applied Macroeconomics II,Autumn,2017,"Monday, 2:30 -  5:30","Hurst, Erik;Winberry, Thomas",2,17,0,2,17,-1,2,17,-1,2,17,-1,7,12,-1,8,11,0
rin2020 34101,34101,81,Entrepreneurial Finance and Private Equity,Spring,2020,"Wednesday, 6:00 -  9:00","Zwick, Eric",9,56,0,11,54,0,11,54,N/A,11,54,N/A,22,43,0,24,41,0
tum2016 34102,34102,81,New Venture Strategy,Autumn,2016,"Thursday, 6:00 -  9:00","Bunch, Gregory",65,CLO,77,63,2,0,65,CLO,400,65,CLO,1501,65,CLO,8006,65,CLO,8500
nte2019 33947,33947,50,Applied Macroeconomics II,Winter,2019,"Monday, 1:30 -  4:30","Kekre, Rohan;Winberry, Thomas",3,62,0,2,63,-1,2,63,-1,2,63,-1,12,53,-1,14,51,-1
rin2017 34102,34102,81,New Venture Strategy,Spring,2017,"Tuesday, 6:00 -  9:00","Bunch, Gregory",65,CLO,945,65,CLO,1100,65,CLO,-1,65,CLO,-1,65,CLO,6688,65,CLO,7653
tum2017 34102,34102,81,New Venture Strategy,Autumn,2017,"Thursday, 6:00 -  9:00","Bunch, Gregory",55,10,0,57,8,0,62,3,0,64,1,0,64,1,0,65,CLO,0
rin2017 33948,33948,50,Financial Markets in the Macroeconomy,Spring,2017,"Tuesday, 1:30 -  2:50","Guerrieri, Veronica",1,64,0,1,64,-1,1,64,-1,1,64,-1,6,59,-1,6,59,-1
rin2018 34102,34102,81,New Venture Strategy,Spring,2018,"Thursday, 6:00 -  9:00","Bunch, Gregory",62,3,0,62,3,0,65,CLO,795,64,1,-1,65,CLO,9410,65,CLO,3233
tum2018 34102,34102,81,New Venture Strategy,Autumn,2018,"Thursday, 6:00 -  9:00","Bunch, Gregory",65,CLO,51,57,8,0,65,CLO,500,64,1,0,65,CLO,1999,65,CLO,0
rin2019 33948,33948,50,Financial Markets in the Macroeconomy,Spring,2019,"Thursday, 1:30 -  4:30","Guerrieri, Veronica",5,60,0,6,59,0,16,49,N/A,17,48,N/A,17,48,N/A,18,47,N/A
rin2019 34102,34102,81,New Venture Strategy,Spring,2019,"Thursday, 6:00 -  9:00","Bunch, Gregory",45,20,0,46,19,0,49,16,0,49,16,0,65,CLO,5283,65,CLO,5763
tum2019 34102,34102,81,New Venture Strategy,Autumn,2019,"Thursday, 6:00 -  9:00","Bunch, Gregory",50,15,0,50,15,0,50,15,N/A,50,15,N/A,65,CLO,0,,,
rin2020 33948,33948,50,Financial Markets in the Macroeconomy,Spring,2020,"Thursday, 1:30 -  4:20","Guerrieri, Veronica",2,18,0,2,18,N/A,2,18,N/A,2,18,N/A,2,18,N/A,1,19,N/A
rin2020 34102,34102,81,New Venture Strategy,Spring,2020,"Thursday, 6:00 -  9:00","Bunch, Gregory",40,25,0,36,29,0,36,29,N/A,36,29,N/A,62,3,0,65,CLO,5225
tum2020 34102,34102,81,New Venture Strategy,Autumn,2020,"Thursday, 6:00 -  9:00","Bunch, Gregory",43,22,0,44,21,0,44,21,N/A,44,21,N/A,65,CLO,1,,,
rin2018 33949,33949,50,Applied Macroeconomics: Heterogeneity and Macro,Spring,2018,"Monday, 8:45 - 11:45","Kekre, Rohan;Vavra, Joseph",1,31,0,1,31,-1,1,31,-1,1,31,-1,1,31,-1,13,19,-1
nte2020 33949,33949,50,Applied Macroeconomics: Heterogeneity and Macro,Winter,2020,"Monday, 1:30 -  4:30","Kekre, Rohan;Vavra, Joseph",5,27,0,4,28,N/A,4,28,N/A,4,28,N/A,4,28,N/A,,,
nte2017 34102,34102,85,New Venture Strategy,Winter,2017,"Saturday, 1:30 -  4:30","Schrager, James",65,CLO,8469,65,CLO,14975,65,CLO,-1,65,CLO,-1,65,CLO,15370,65,CLO,-1
rin2017 33949,33949,50,Applied Macroeconomics: Heterogeneity and Macro,Spring,2017,"Tuesday, 3:30 -  6:30","Vavra, Joseph",2,22,0,2,22,-1,2,22,-1,2,22,-1,6,18,-1,7,17,-1
mme2017 34102,34102,81,New Venture Strategy,Summer,2017,"Monday, 6:00 -  9:00","Schrager, James",65,CLO,11001,65,CLO,11199,65,CLO,-1,65,CLO,-1,65,CLO,20000,65,CLO,-1
,33949,50,Applied Macroeconomics: Heterogeneity and Macro,Winter,2021,"Monday, 1:30 -  4:30","Kekre, Rohan; Vavra, Joseph",1,31,0,2,30,0,2,30,N/A,2,30,N/A,3,29,0,,,
nte2018 34101,34101,1,Entrepreneurial Finance and Private Equity,Winter,2018,"Monday, 1:30 -  4:30","Hochberg, Yael",38,27,0,54,11,0,54,11,-1,54,11,-1,51,14,0,55,10,0
nte2018 34102,34102,85,New Venture Strategy,Winter,2018,"Saturday, 1:30 -  4:30","Schrager, James",65,CLO,1412,65,CLO,6000,65,CLO,-1,65,CLO,-1,65,CLO,14233,65,CLO,15030
tum2016 34101,34101,1,Entrepreneurial Finance and Private Equity,Autumn,2016,"Monday, Wednesday,10:10 - 11:30","Kaplan, Steven",70,CLO,14525,70,CLO,-1,70,CLO,-1,70,CLO,-1,70,CLO,-1,70,CLO,-1
tum2016 34101,34101,2,Entrepreneurial Finance and Private Equity,Autumn,2016,"Monday, Wednesday, 1:30 -  2:50","Kaplan, Steven",70,CLO,0,70,CLO,-1,70,CLO,-1,70,CLO,-1,70,CLO,21798,70,CLO,16692
tum2017 34101,34101,1,Entrepreneurial Finance and Private Equity,Autumn,2017,"Monday, Wednesday,10:10 - 11:30","Kaplan, Steven",70,CLO,0,70,CLO,9998,70,CLO,-1,70,CLO,-1,70,CLO,19200,70,CLO,16888
nte2019 34102,34102,85,New Venture Strategy,Winter,2019,"Saturday, 1:30 -  4:30","Schrager, James",64,1,0,65,CLO,2000,65,CLO,-1,65,CLO,-1,65,CLO,12507,65,CLO,4190
tum2017 34101,34101,2,Entrepreneurial Finance and Private Equity,Autumn,2017,"Monday, Wednesday, 1:30 -  2:50","Kaplan, Steven",70,CLO,10021,70,CLO,15111,70,CLO,-1,70,CLO,-1,70,CLO,-1,70,CLO,-1
tum2018 34101,34101,1,Entrepreneurial Finance and Private Equity,Autumn,2018,"Monday, Wednesday,10:10 - 11:30","Kaplan, Steven",70,CLO,7766,70,CLO,-1,70,CLO,-1,70,CLO,-1,70,CLO,-1,70,CLO,-1
tum2018 34101,34101,2,Entrepreneurial Finance and Private Equity,Autumn,2018,"Monday, Wednesday, 1:30 -  2:50","Kaplan, Steven",70,CLO,7,70,CLO,-1,70,CLO,-1,70,CLO,-1,70,CLO,0,70,CLO,-1
nte2020 34102,34102,85,New Venture Strategy,Winter,2020,"Saturday, 1:30 -  4:30","Schrager, James",65,CLO,7105,65,CLO,16499,65,CLO,N/A,65,CLO,N/A,65,CLO,13035,,,
tum2019 34101,34101,1,Entrepreneurial Finance and Private Equity,Autumn,2019,"Monday, Wednesday,10:10 - 11:30","Kaplan, Steven",70,CLO,8401,70,CLO,11454,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,,,
mme2020 34102,34102,81,New Venture Strategy,Summer,2020,"Monday, 6:00 -  9:00","Schrager, James",65,CLO,6665,65,CLO,629,65,CLO,N/A,65,CLO,N/A,65,CLO,15000,,,
tum2019 34101,34101,2,Entrepreneurial Finance and Private Equity,Autumn,2019,"Monday, Wednesday, 1:30 -  2:50","Kaplan, Steven",70,CLO,46,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,70,CLO,14101,,,
tum2020 34101,34101,1,Entrepreneurial Finance and Private Equity,Autumn,2020,"Monday, Wednesday,10:10 - 11:30","Kaplan, Steven",70,CLO,8689,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,,,
tum2016 34103,34103,81,Building the New Venture,Autumn,2016,"Tuesday, 6:00 -  9:00","Deutsch, Waverly",45,CLO,6660,45,CLO,5411,45,CLO,-1,45,CLO,-1,45,CLO,12651,45,CLO,14501
nte2017 34103,34103,85,Building the New Venture,Winter,2017,"Saturday, 9:00 - 12:00","Lyman, Lindsey",45,CLO,5555,45,CLO,-1,45,CLO,-1,45,CLO,-1,45,CLO,15000,45,CLO,5994
tum2020 34101,34101,2,Entrepreneurial Finance and Private Equity,Autumn,2020,"Monday, Wednesday, 1:30 -  2:50","Kaplan, Steven",70,CLO,8611,70,CLO,15496,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,,,
rin2017 34101,34101,1,Entrepreneurial Finance and Private Equity,Spring,2017,"Thursday, 8:30 - 11:30","Meadow, Scott",65,CLO,401,65,CLO,10000,65,CLO,-1,65,CLO,-1,65,CLO,13450,65,CLO,2088
tum2017 34103,34103,81,Building the New Venture,Autumn,2017,"Thursday, 6:00 -  9:00","Lyman, Lindsey",44,1,0,45,CLO,3000,45,CLO,-1,45,CLO,-1,41,4,0,41,4,0
rin2018 34101,34101,2,Entrepreneurial Finance and Private Equity,Spring,2018,"Friday, 8:30 - 11:30","Meadow, Scott",65,CLO,11,65,CLO,3107,65,CLO,-1,65,CLO,-1,65,CLO,3333,65,CLO,2731
nte2018 34103,34103,81,Building the New Venture,Winter,2018,"Monday, 6:00 -  9:00","Lyman, Lindsey",45,CLO,101,45,CLO,5,45,CLO,-1,45,CLO,-1,45,CLO,300,44,1,0
tum2018 34103,34103,85,Building the New Venture,Autumn,2018,"Saturday, 9:00 - 12:00","Lyman, Lindsey",45,CLO,4354,45,CLO,17989,45,CLO,-1,45,CLO,-1,45,CLO,8849,45,CLO,-1
nte2019 34101,34101,1,Entrepreneurial Finance and Private Equity,Winter,2019,"Friday, 8:30 - 11:30","Meadow, Scott",65,CLO,2000,65,CLO,10560,65,CLO,-1,65,CLO,-1,65,CLO,20934,65,CLO,12785
nte2019 34103,34103,81,Building the New Venture,Winter,2019,"Monday, 6:00 -  9:00","Lyman, Lindsey",43,2,0,43,2,0,45,CLO,3997,45,CLO,-1,45,CLO,4500,45,CLO,2000
nte2020 34101,34101,1,Entrepreneurial Finance and Private Equity,Winter,2020,"Thursday, 8:30 - 11:30","Meadow, Scott",65,CLO,4001,65,CLO,10000,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
tum2019 34103,34103,81,Building the New Venture,Autumn,2019,"Monday, 6:00 -  9:00","Lyman, Lindsey",32,13,0,35,10,0,37,8,0,37,8,N/A,44,1,0,,,
tum2019 34103,34103,85,Building the New Venture,Autumn,2019,"Saturday, 9:00 - 12:00","Lyman, Lindsey",45,CLO,547,45,CLO,2000,45,CLO,N/A,45,CLO,N/A,45,CLO,86,,,
tum2020 34103,34103,81,Building the New Venture,Autumn,2020,"Monday, 6:00 -  9:00","Lyman, Lindsey",45,CLO,200,44,1,0,45,CLO,7998,45,CLO,N/A,45,CLO,3149,,,
nte2017 34101,34101,1,Entrepreneurial Finance and Private Equity,Winter,2017,"Tuesday, 8:30 - 11:30","Zingales, Luigi",44,21,0,53,12,0,53,12,-1,53,12,-1,57,8,0,53,12,-1
tum2016 34106,34106,81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2016,"Monday, 6:00 -  9:00","Meadow, Scott",45,10,0,50,5,0,51,4,0,52,3,0,55,CLO,3104,55,CLO,9898
nte2017 34101,34101,2,Entrepreneurial Finance and Private Equity,Winter,2017,"Wednesday, 8:30 - 11:30","Zingales, Luigi",40,25,0,43,22,0,43,22,-1,43,22,-1,42,23,0,47,18,0
nte2017 34106,34106,85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Winter,2017,"Saturday, 9:00 - 12:00","Meadow, Scott",55,CLO,2000,55,CLO,3819,55,CLO,-1,55,CLO,-1,55,CLO,11898,55,CLO,2990
rin2017 34101,34101,2,Entrepreneurial Finance and Private Equity,Spring,2017,"Wednesday, 8:30 - 11:30","Zwick, Eric",50,15,0,62,3,0,62,3,-1,62,3,-1,59,6,0,59,6,0
tum2017 34106,34106,81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2017,"Tuesday, 6:00 -  9:00","Meadow, Scott",55,CLO,5,50,5,0,52,3,0,53,2,0,54,1,0,55,CLO,879
rin2018 34101,34101,1,Entrepreneurial Finance and Private Equity,Spring,2018,"Wednesday, 1:30 -  4:30","Zwick, Eric",53,13,0,60,6,0,60,6,-1,60,6,-1,59,7,0,60,6,0
nte2018 34106,34106,85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Winter,2018,"Saturday, 9:00 - 12:00","Meadow, Scott",45,10,0,43,12,0,43,12,-1,43,12,-1,55,CLO,7700,55,CLO,5004
rin2019 34101,34101,1,Entrepreneurial Finance and Private Equity,Spring,2019,"Wednesday, 1:30 -  4:30","Zwick, Eric",39,26,0,52,13,0,52,13,N/A,52,13,N/A,60,5,0,65,CLO,0
tum2018 34106,34106,81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2018,"Tuesday, 6:00 -  9:00","Meadow, Scott",47,8,0,48,7,0,50,5,0,50,5,-1,55,CLO,2399,55,CLO,6999
rin2020 34101,34101,1,Entrepreneurial Finance and Private Equity,Spring,2020,"Wednesday, 1:30 -  4:30","Zwick, Eric",62,3,0,65,CLO,3026,63,2,N/A,63,2,N/A,65,CLO,128,64,1,N/A
rin2019 34106,34106,85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Spring,2019,"Saturday, 9:00 - 12:00","Meadow, Scott",55,CLO,4786,55,CLO,2031,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A,55,CLO,11642
,34101,1,Entrepreneurial Finance and Private Equity,Winter,2021,"Friday, 8:30 - 11:30","Meadow, Scott",65,CLO,4021,65,CLO,7015,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
tum2019 34106,34106,81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2019,"Wednesday, 6:00 -  9:00","Meadow, Scott",49,6,0,48,7,0,48,7,N/A,48,7,N/A,55,CLO,4344,,,
nte2017 34102,34102,2,New Venture Strategy,Winter,2017,"Thursday, 8:30 - 11:30","Bunch, Gregory",65,CLO,2345,65,CLO,8790,65,CLO,-1,65,CLO,-1,65,CLO,8305,65,CLO,-1
rin2020 34106,34106,85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Spring,2020,"Saturday, 9:00 - 12:00","Meadow, Scott",55,CLO,5801,55,CLO,9673,55,CLO,N/A,55,CLO,N/A,45,10,0,44,11,0
nte2018 34102,34102,2,New Venture Strategy,Winter,2018,"Thursday, 1:30 -  4:30","Bunch, Gregory",65,CLO,0,65,CLO,3000,65,CLO,-1,65,CLO,-1,65,CLO,7000,65,CLO,3800
tum2020 34106,34106,81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2020,"Wednesday, 6:00 -  9:00","Meadow, Scott",46,9,0,47,8,0,48,7,0,48,7,N/A,55,CLO,7000,,,
rin2018 34108,34108,81,Innovation Leadership,Spring,2018,"Monday, 6:00 -  9:00","Lyman, Lindsey",40,CLO,3075,40,CLO,8000,40,CLO,-1,40,CLO,-1,40,CLO,5707,40,CLO,4578
nte2020 34108,34108,85,Innovation Leadership,Winter,2020,"Saturday, 9:00 - 12:00","Lyman, Lindsey",39,1,0,38,2,0,38,2,N/A,38,2,N/A,40,CLO,2356,,,
nte2017 34111,34111,81,Entrepreneurial Selling,Winter,2017,"Monday, 6:00 -  9:00","Alter, Michael",0,65,-1,0,65,-1,0,65,-1,0,65,-1,39,26,0,34,31,0
rin2017 34111,34111,81,Entrepreneurial Selling,Spring,2017,"Monday, 6:00 -  9:00","Alter, Michael",62,3,0,65,CLO,3333,65,CLO,-1,65,CLO,-1,65,CLO,3300,65,CLO,4500
nte2019 34102,34102,2,New Venture Strategy,Winter,2019,"Thursday, 1:30 -  4:30","Bunch, Gregory",65,CLO,305,65,CLO,4000,65,CLO,-1,65,CLO,-1,65,CLO,2135,65,CLO,-1
tum2017 34111,34111,81,Entrepreneurial Selling,Autumn,2017,"Monday, 6:00 -  9:00","Alter, Michael",37,28,0,35,30,0,43,22,0,48,17,0,56,9,0,58,7,0
nte2020 34102,34102,2,New Venture Strategy,Winter,2020,"Thursday, 1:30 -  4:30","Bunch, Gregory",65,CLO,511,65,CLO,4759,65,CLO,N/A,65,CLO,N/A,65,CLO,7129,,,
nte2018 34111,34111,81,Entrepreneurial Selling,Winter,2018,"Tuesday, 6:00 -  9:00","Alter, Michael",29,34,0,28,35,0,28,35,-1,28,35,-1,27,36,0,28,35,0
rin2018 34111,34111,85,Entrepreneurial Selling,Spring,2018,"Saturday, 9:00 - 12:00","Alter, Michael",52,13,0,48,17,0,54,11,0,56,9,0,54,11,0,54,11,0
tum2016 34102,34102,1,New Venture Strategy,Autumn,2016,"Thursday, 1:30 -  4:30","Schrager, James",65,CLO,9209,65,CLO,17000,65,CLO,-1,65,CLO,-1,65,CLO,18105,65,CLO,11098
tum2018 34111,34111,81,Entrepreneurial Selling,Autumn,2018,"Monday, 6:00 -  9:00","Alter, Michael",43,22,0,38,27,0,51,14,0,54,11,0,51,14,0,48,17,0
nte2017 34102,34102,1,New Venture Strategy,Winter,2017,"Tuesday, 1:30 -  4:30","Schrager, James",65,CLO,701,65,CLO,9876,65,CLO,-1,65,CLO,-1,65,CLO,10111,65,CLO,16034
